learning_rate,batch_size,n_steps,ent_coef,reward
0.0001,64,1024,0,70.66397775292397
0.0001,64,1024,0.01,69.95929157733917
0.0001,64,1024,0.05,68.56415281057357
0.0001,64,1024,0.1,67.85192547440529
0.0001,64,2048,0,73.38424129605293
0.0001,64,2048,0.01,75.68075919151306
0.0001,64,2048,0.05,80.92338423013688
0.0001,64,2048,0.1,79.97596458911896
0.0001,64,4096,0,76.41205597996712
0.0001,64,4096,0.01,78.7560322880745
0.0001,64,4096,0.05,89.66134546160698
0.0001,64,4096,0.1,89.1850426530838
0.0001,128,1024,0,60.32688129425049
0.0001,128,1024,0.01,64.47421464323997
0.0001,128,1024,0.05,67.84461943030357
0.0001,128,1024,0.1,68.37446215152741
0.0001,128,2048,0,85.88427962422371
0.0001,128,2048,0.01,79.57702181816101
0.0001,128,2048,0.05,76.93024735331535
0.0001,128,2048,0.1,76.71512323617935
0.0001,128,4096,0,77.49052389025688
0.0001,128,4096,0.01,82.0759125316143
0.0001,128,4096,0.05,82.68002895355225
0.0001,128,4096,0.1,80.11154846191407
0.0001,256,1024,0,64.63174011230468
0.0001,256,1024,0.01,63.87817490577698
0.0001,256,1024,0.05,65.33807401180268
0.0001,256,1024,0.1,68.48117782354355
0.0001,256,2048,0,79.81148512363434
0.0001,256,2048,0.01,75.89654813051224
0.0001,256,2048,0.05,78.91340856432915
0.0001,256,2048,0.1,76.50495376229286
0.0001,256,4096,0,77.36018002390861
0.0001,256,4096,0.01,77.21930669546127
0.0001,256,4096,0.05,77.54826690793037
0.0001,256,4096,0.1,81.70202646732331
0.0003,64,1024,0,67.47116257667541
0.0003,64,1024,0.01,68.36808716058731
0.0003,64,1024,0.05,65.75489205241203
0.0003,64,1024,0.1,70.53245201587677
0.0003,64,2048,0,86.44064566254616
0.0003,64,2048,0.01,75.18110368371009
0.0003,64,2048,0.05,79.56761405587196
0.0003,64,2048,0.1,111.71879551291465
0.0003,64,4096,0,85.5629905986786
0.0003,64,4096,0.01,89.92493324995041
0.0003,64,4096,0.05,98.74628443717957
0.0003,64,4096,0.1,87.50004449605942
0.0003,128,1024,0,66.0299455833435
0.0003,128,1024,0.01,66.75033499360084
0.0003,128,1024,0.05,60.30601964473724
0.0003,128,1024,0.1,66.09126146554947
0.0003,128,2048,0,93.73206765532494
0.0003,128,2048,0.01,79.10669565081596
0.0003,128,2048,0.05,84.8323300921917
0.0003,128,2048,0.1,77.3741731250286
0.0003,128,4096,0,83.41391665577889
0.0003,128,4096,0.01,83.79724441409111
0.0003,128,4096,0.05,77.06658921718598
0.0003,128,4096,0.1,84.42577451586723
0.0003,256,1024,0,64.28416144609452
0.0003,256,1024,0.01,69.11984728097916
0.0003,256,1024,0.05,65.21351863384247
0.0003,256,1024,0.1,64.2375449681282
0.0003,256,2048,0,77.73340712547302
0.0003,256,2048,0.01,76.97612164735794
0.0003,256,2048,0.05,77.7065286540985
0.0003,256,2048,0.1,92.63048349022866
0.0003,256,4096,0,95.17976530194282
0.0003,256,4096,0.01,89.4219406235218
0.0003,256,4096,0.05,89.17974594593048
0.0003,256,4096,0.1,80.43031705975532
0.0005,64,1024,0,65.47903923749924
0.0005,64,1024,0.01,68.66713181853294
0.0005,64,1024,0.05,63.41668551445007
0.0005,64,1024,0.1,72.67394399762154
0.0005,64,2048,0,100.31042024493217
0.0005,64,2048,0.01,86.25298000335694
0.0005,64,2048,0.05,104.61274984121323
0.0005,64,2048,0.1,90.25924290180207
0.0005,64,4096,0,145.23241314649582
0.0005,64,4096,0.01,78.08558294296265
0.0005,64,4096,0.05,82.17840547442437
0.0005,64,4096,0.1,87.87438459396363
0.0005,128,1024,0,68.47017219901085
0.0005,128,1024,0.01,69.01719907522201
0.0005,128,1024,0.05,64.44463866949081
0.0005,128,1024,0.1,72.05721702575684
0.0005,128,2048,0,107.18567128062249
0.0005,128,2048,0.01,116.58349212646485
0.0005,128,2048,0.05,80.3516084253788
0.0005,128,2048,0.1,94.67055576324464
0.0005,128,4096,0,81.72591574668884
0.0005,128,4096,0.01,89.22079149365425
0.0005,128,4096,0.05,90.1584200143814
0.0005,128,4096,0.1,124.38994278311729
0.0005,256,1024,0,65.31623185634614
0.0005,256,1024,0.01,65.14953703641892
0.0005,256,1024,0.05,68.11114693403243
0.0005,256,1024,0.1,71.40032874464988
0.0005,256,2048,0,76.20767398238182
0.0005,256,2048,0.01,77.43154281258583
0.0005,256,2048,0.05,79.17454020619392
0.0005,256,2048,0.1,75.93725484967231
0.0005,256,4096,0,90.59849667787552
0.0005,256,4096,0.01,79.3318508887291
0.0005,256,4096,0.05,103.19501799225807
0.0005,256,4096,0.1,87.91596904397011
